product_id,name,full_name,price,ocop_rating,origin,producer,short_description,description,image_url,product_url,ocop_rating_from_list
26220,Ngũ cốc dinh dưỡng cao cấp HuongFarm 500 gram,Ngũ cốc dinh dưỡng cao cấp HuongFarm 500 gram,220000,,Quảng Nam,Ngũ cốc dinh dưỡng cao cấp HuongFarm,Ngũ cốc dinh dưỡng cao cấp 500 gr,"(Đạt chuẩn OCOP) Ngũ cốc dinh dưỡng cao cấp 21 hạt HuongFarm_không đậu nành Rất ngon, bổ dưỡng, sạch sẽ Được đóng gói bảo đảm chất lượng, công nghệ cao","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7308/20250417/s3_7308_2025041711314833087.jpg?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26220,
26219,Nếp Đắng Lộc Đại (1.000 g),Nếp Đắng Lộc Đại (1.000 g),60000,,Quảng Nam,Nếp Đắng Lộc Đại,"đặc sản xã Quế Hiệp, huyện Quế Sơn, tỉnh Quảng Nam","đặc sản xã Quế Hiệp, huyện Quế Sơn, tỉnh Quảng Nam, rất ngon, hương vị đồng quê. Mời bạn ăn nha Được sản xuất trên quy trình khép kín, đóng gói công nghệ cao","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7307/20250417/s3_7307_2025041710571629322.jpg?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26219,
26215,Gạo Thơm Mỹ Bửu Trang,Gạo Thơm Mỹ Bửu Trang,170000,,Tiền Giang,Doanh nghiệp tư nhân Nguyễn Thị Trang,"Hạt gạo nhỏ có màu trắng trong, dài hạt Cơm dẻo, mềm và rất ngọt cơm Hạt gạo có mùi hương thơm nhẹ, tự nhiên Cơm vẫn ngon sau khi để nguội","Gạo thơm mỹ Bữu Trang thuộc nhóm gạo đặc sản, có tính dẻo thơm. Hạt nhỏ, dài hạt, cơm dẻo, mềm và rất ngọt cơm. Hạt gạo có mùi thơm nhẹ, tự nhiên, cơm vẫn ngon khi để nguội","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7300/20250410/s3_7300_2025041015500275399.jpg?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26215,
26212,Nước rửa chén Hương Núi Vần - Can 2 lít,OCOP - Nước rửa chén Hương Núi Vần - Can 2 lít,209000,3.0,Hoằng Kim,Viện Nông nghiệp Thanh Hoá,(Sản phẩm OCOP 3 sao tỉnh Thanh Hoá).,"Nước rửa chén Hương Núi Vần (Sản phẩm OCOP 3 sao tỉnh Thanh Hoá) . Nước rửa chén là một sản phẩm thiết yếu trong mỗi gia đình, nhà hàng, và doanh nghiệp kinh doanh thực phẩm. Với khả năng làm sạch dầu mỡ, diệt khuẩn hiệu quả và bảo vệ sức khỏe người dùng, nước rửa chén đóng vai trò quan trọng trong việc duy trì vệ sinh an toàn thực phẩm. Nước rửa chén Hương Núi Vần được người tiêu dùng ưa chuộng vì có công dụng diệt khuẩn mạnh, làm sạch mọi bề mặt tiếp xúc, mang lại sự sáng bóng cho những đồ dùng trong gia đình như chén bát, đồ thủy tinh, đồ sành sứ, ngăn ngừa vi khuẩn, khử mùi tanh hiệu quả và giúp chén bát lưu lại hương thơm mát dễ chịu của sả chanh. Chị Lê Thị Thứ giám đốc HTXDV nông dược Núi Vần (thôn Văn Hanh, xã Vĩnh Phúc, huyện Vĩnh Lộc, tỉnh Thanh Hoá) đã tìm tòi, học tập, nghiên cứu, đầu tư phát triển vùng nguyên liệu với diện tích hơn 5 ha cũng như đầu tư trang thiết bị máy móc tiên tiến để sản xuất nước rửa chén Hương Núi Vần. Nước rửa chén Hương Núi Vần được chiết lấy tinh chất nguyên chất từ cây sả kết hợp Enzim (trái bồ hòn, dứa gai, chanh, mía,…) được ngâm ủ lên men tự nhiên thời gian 2 đến 3 tháng trở lên với độ phân hủy sinh học đạt tiêu chuẩn cao và để ra được thành phẩm tinh dầu sả sẽ phải trải qua nhiều công đoạn với những nguyên lý hoạt động riêng, bắt đầu từ việc nạp nguyên liệu, chưng cất hàng giờ đồng hồ trong điều kiện nhiệt độ hợp lý tiến hành phân ly. Tất cả đều phải đảm bảo yêu cầu cao về các thông số ký thuật trong cách tạo nhiệt, ngưng tụ và tách tinh dầu. Hệ thống chưng cất hoàn toàn bằng inox và sử dụng khí sạch từ nồi hơi để cung cấp hơi và nhiệt độ cho buồng nguyên liệu, phương pháp sản xuất là lôi cuốn hơi nước .Trong quá trình chưng cất, cùng với sự thay đổi thành phần của hỗn hợp lỏng có thể làm thay đổi thành phần của hỗn hợp hơi. Trong điều kiện áp suất không đổi, dung dịch lỏng thu được bằng cách ngưng tụ hỗn hợp hơi bay ra sẽ có thành phần cấu tử dễ bay hơi cao hơn so với chất lỏng ban đầu. Sản phẩm đáp ứng nhu cầu tiện lợi, hiệu quả và được người tiêu dùng đánh giá cao. Sản phẩm nước rửa chén Hương Núi Vần được công nhận đạt chất lượng sản phẩm OCOP 3 sao năm 2024 và đạt chứng nhận an toàn vệ sinh thực phẩm. Sản phẩm đảm bảo 100% thành phần tự nhiên, mang hương thơm tự nhiên dịu nhẹ, không chất tạo màu, không hương liệu tổng hợp, không hóa chất độc hại và thân thiện với môi trường , cách dùng: Lấy một lượng vừa đủ, từ 10ml đến 20ml tuỳ vào số lượng chén đĩa cho vào 1/3 chén (bát) nước và dùng rẻ rửa chén (bát) quấy tan đều với nước và rửa. Hạn sử dụng 24 tháng kể từ ngày sản xuất. Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp từ môi trường, đậy kín nắp sau khi sử dụng. Về quy trình sản xuât: Bước 1: Thu hái nguyên liệu: Cây sả, trái bồ hòn, dứa,.. cây sả được thu hoạch vào những ngày nắng, từ 9h-16h hàng ngày, tiến hành cắt phần lá cách cổ lá khoảng 10cm để đảm bảo không ảnh hưởng đến củ. Bước 2: Sơ chế: Lựa chọn những cây sả không quá già, không quá non, rửa sạch, cắt nhỏ, để khô. Bước 3: Sản xuất tinh dầu: Nguyên liệu được đưa vào buồng chứa và tiến hành chưng cất bằng phương pháp lôi cuốn hơi nước. Sử dụng công nghệ nồi hơi, cung cấp hơi sang buồng chứa nguyên liệu trong 12-16 giờ đồng hồ, kiểm tra chất lượng và ghi lô nhập kho. Bước 4: Pha chế: Pha chế và đóng vào các can chuyên dụng. Bước 5: Đóng can, xuất bán: Nước rửa chén sẽ được đóng vào các can nhựa dung tích 1lít, 2 lít, dán tem nhãn, đóng hộp và xuất bán. Văn Lộc","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/272/20250403/s3_272_2025040308223143250.png?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26212,3.0
26211,Nem nướng Phương Bưởi - 120g/cái,OCOP - Nem nướng Phương Bưởi - 120g/cái,20000,3.0,Hoằng Kim,Viện Nông nghiệp Thanh Hoá,(Sản phẩm OCOP 3 sao tỉnh Thanh Hoá).,"Nem nướng Phương Bưởi (Sản phẩm OCOP 3 sao tỉnh Thanh Hoá) . Nem nướng là một loại nem nổi tiếng của xứ Thanh, được lưu truyền qua bao đời và hấp dẫn được du khách gần xa. Không chỉ góp mặt trong bữa cơm những ngày lễ, tết, còn là món quà đãi khách quý đến chơi của người xứ Thanh. Nem nướng được làm từ các nguyên liệu cơ bản như: Thịt lợn nạc, bì lợn, lá đinh lăng, lá chuối, lá ổi, các gia vị (mì chính, nước mắm, muối), tỏi, ớt, hạt tiêu. Thịt được lựa chọn làm nem thính là thịt nạc tươi mới, được tuyển chọn kỹ càng, kiểm soát chặt chẽ từ các cơ sở giết mổ đảm bảo uy tín, chất lượng, an toàn thực phẩm. Thính làm nem nướng là thính ngô hoặc thính gạo. Cả hai loại thính này đều đem lại hiệu quả lên men giống nhau. Một điểm khác biệt khá rõ là thịt lợn khi làm nem nướng không xay nhuyễn như nem chua mà được thái thành những lát mỏng. Với nhiều năm trong nghề sản xuất nem, hộ kinh doanh Phạm Văn Phương (thôn Quang Biểu, xã Vĩnh Hoà, huyện Vĩnh Lộc, tỉnh Thanh Hoá) đã có kinh nghiệm cùng với đầu tư máy móc để sản xuất ra sản phẩm nem nướng Phương Bưởi đảm bảo uy tín, chất lượng, mẫu mã phù hợp với khẩu vị của số đông người tiêu dùng mà còn có những nét rất riêng, mang hương vị ẩm thực cổ truyền và vẫn giữ được tinh hoa ẩm thực của nghề truyền thống mang đậm bản sắc. Nem nướng Phương Bưởi luôn sử dụng nguồn nguyên liệu tươi, được chọn kỹ càng, kiểm soát chặt chẽ cùng phương châm không hoá chất bảo quản, không lên men công nghiệp, khâu an toàn vệ sinh thực phẩm cũng được chú trọng, tất cả các lao động khi làm nem đều phải sử dụng găng tay, khẩu trang, tạp dề,… đầy đủ theo quy định. Để đảm bảo chất lượng sản phẩm trước khi đưa ra ngoài thị trường tiêu thụ đều được dãn nhãn mác, mã vạch, tem truy xuất nguồn gốc rõ ràng, người tiêu dùng có thể dễ dàng kiểm tra nguồn gốc, xuất xứ, hạn sử dụng của sản phẩm chỉ bằng một thao tác đơn giản là quét mã QR Code. Để làm ra những sản phẩm nem đạt tiêu chuẩn người làm ra nó phải rất kỹ lưỡng, công phu trong từng công đoạn. Sản phẩm nem nướng Phương Bưởi được công nhận đạt chất lượng OCOP 3 sao năm 2023 và đạt chứng nhận an toàn vệ sinh thực phẩm. Sản phẩm nem nướng Phương Bưởi ăn ngon nhất khi vừa chín tới, khoảng 2- 3 ngày vào mùa hè và khoảng 3- 4 ngày vào mùa đông kể từ ngày sản xuất, trước khi ăn nướng qua than củi hoặc lò vi sóng. Khi bóc, nem có mầu hồng nhạt của thịt ướp thính, thơm mùi tiêu, ớt, tỏi. Khi người ăn sẽ thấy ấn tượng bởi sự giòn sựt của bì lợn, vị chua chua, ngọt thơm đậm đà của thịt và cay nhẹ của gia vị. Sản phẩm ăn kèm với các loại lá như: lá sung, lá mơ, lá lá lộc vừng,… chấm với tương ớt hoặc nước mắm tỏi ớt. Hạn sử dụng 7 ngày kể từ ngày sản xuất. Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp, bảo quản trong ngăn mát tủ lạnh khi nem đã chín. Về quy trình sản xuât: Bước 1: Thu mua lựa chọn nguyên liệu: Thịt lợn nạc, bì lợn, thính gạo, ớt, tỏi, muối, hạt tiêu, mì chính, lá đinh lăng, lá ổi, lá chuối. Bước 2: Sơ chế, làm sạch nguyên liệu, thái thịt thành lát nhỏ, làm bì,…. Bước 3: Thịt, bì lợn sau khi làm sạch trộn đều với các gia vị như: tỏi, ớt, mì chính. thính gạo,… . Bước 4: Đóng gói và xuất bán: Nem gói bằng lá chuối, trong có lá đinh lăng, lá ổi, nilong, dán tem mác xuất bán . Văn Lộc","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/272/20250403/s3_272_2025040308195867144.png?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26211,3.0
26210,Miến gạo Xuân Anh - 1kg,OCOP - Miến gạo Xuân Anh - 1kg,30000,3.0,Hoằng Kim,Viện Nông nghiệp Thanh Hoá,(Sản phẩm OCOP 3 sao tỉnh Thanh Hoá),"Miến gạo Xuân Anh (Sản phẩm OCOP 3 sao tỉnh Thanh Hoá) Miến gạo đang là thực phẩm tốt cho sức khỏe, nếu dùng miến cho thực đơn hàng ngày một cách hợp lí sẽ là thực phẩm tuyệt vời cho người muốn giảm cân và duy trì thể trạng bởi miến gạo được làm từ tinh bột, không chứa chất béo và ít calo. Miến gạo có thể dùng để chế biến nhiều món ngon như miến sào, miến luộc, miến chộn, hay nấu với nước sương, cua… Được theo học nghề làm miến gạo từ thời bố, anh Lê Xuân Anh ở xã Đông Thanh chủ của hộ kinh doanh sản xuất miến gạo Xuân Anh dần dần đã khẳng định được một thương hiệu miến gạo cho riêng mình trên mảnh đất quê hương. Để làm ra một sợi miến ngon phải trải qua nhiều công đoạn, từ chọn nguyên liệu cho đến chế biến tạo ra sản phẩm làm sao cho chất lượng nhất tất cả đều phải thực hiện bằng một quy trình khép kín. Nguyên liệu làm nên sợi miến, không đâu khác chính là gạo. Loại gạo được chọn làm miến là các loại gạo như: Q5, Khang Dân được thu mua trực tiếp tại xã Đông Thanh, và một số đại lý gạo trên địa bàn tỉnh Thanh Hóa. Miến gạo Xuân Anh được làm từ 100% gạo tẻ, không pha thêm tạp chất, nói không với chất phụ gia, sản xuất luôn tuân thủ các quy định về an toàn vệ sinh thực phẩm. Để nâng cao công suất chế biến cũng như chất lượng sản phẩm, cơ sở miến gạo Xuân Anh đã đầu tư mua sắm thiết bị máy móc hiện đại để phục vụ sản xuất. Nếu như trước đây chỉ sử dụng  phương pháp hoàn toàn thủ công làm bằng tay cho năng suất tương đối thấp, chất lượng không đồng đều thì hiện nay cơ sở miến gạo Xuân Anh đã cải tiến kĩ thuật với các loại máy hút bột khô chân không, máy làm sợi, máy sấy. Với việc nâng cao chất lượng, cải tiến máy móc để làm miến, hộ sản xuất miến gạo Xuân Anh đã ngày càng phát triển và mang một thương hiệu miến gạo cho riêng mình, để dù đi đến nơi đâu, thưởng thức bao nhiêu loại miến gạo khác khách hàng cũng sẽ không quên được hương vị của miến gạo Xuân Anh cùng với cuộc sông mộc mạc, bình dị nhưng lại ân tình, mến khách của con người Đông Thanh. Sản phẩm miến gạo Xuân Anh dần khẳng định được thị trường trong tỉnh, được công nhận ocop 3 sao năm 2024. Sản phẩm miến gạo Xuân Anh nói không với các chất phụ gia, chất bảo quản. Sản phẩm làm hoàn toàn tự nhiên đã được cấp chứng nhận vệ sinh ATTP. Ngày nay xã hội càng phát triển, ưu tiên những món ăn nhanh, mất ít thời gian chế biến và đa dạng các phương pháp chế biến như miến như miến hấp, miến sào, canh miến với sương, canh miến cua… Cách bảo quản: Bảo quản nơi khô ráo, thoáng mát, nhiệt độ bảo quản thích hợp từ 25 – 30 độ C, tránh ánh nắng trực tiếp và nhiệt độ cao gây ảnh hưởng đến chất lượng sản phẩm. Không sử dụng sản phẩm hết hạn sử dụng hoặc sản phẩm có mùi lạ, mốc, hỏng. Hạn sử dụng: 6 tháng kể từ ngày sản xuất. Quy trình sản xuất: Bước 1: Thu mua, chọn lựa nguyên liệu (gạo tẻ Q5, Khang Dân…). Bước 2: Ngâm gạo và nghiền ướt và để ráo tách bớt nước ra khỏi bột. Bước 3: Hồ hoá tinh bột sau khi nghiền nhằm tạo cho khối bột có độ đặc nhất định trước khi tiến hành nhào bột. Bước 4: Ép đùn, định hình sợi miến bằng máy, phơi ráo nước. Bước 5: Sấy khô và đóng gói sản phẩm đưa ra thị trường tiêu thụ.","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/272/20250403/s3_272_2025040308170764141.png?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26210,3.0
26200,Đĩa khu đền tháp Mỹ Sơn 300gr,Đĩa khu đền tháp Mỹ Sơn 300gr,500000,,Quảng Nam,Đĩa khu đền tháp Mỹ Sơn,"&quot; Đĩa khu đền tháp Mỹ Sơn&quot; là sản phẩm dùng trong việc trang trí phòng khách, để bàn làm việc...",""" Đĩa khu đền tháp Mỹ Sơn"" là sản phẩm dùng trong việc trang trí phòng khách, để bàn làm việc, sản phẩm nhỏ gọn có bao gói, mà còn rất tiện lợi cho khách du lịch tham quan mua sắm làm quà tặng cho người thân, quảng bá về di sản văn hóa thế giới tại địa phương Duy Xuyên, Quảng Nam.","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7292/20250327/s3_7292_2025032717210330461.jpg?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26200,
26185,Dầu phộng Duy Cầm- Chai 1 lít,Dầu phộng Duy Cầm- Chai 1 lít,99000,,Bình Định,DUY CẦM,"Nguyên liệu tự nhiên: Được chế biến từ hạt đậu phộng (lạc) nguyên chất, đảm bảo chất lượng và an toàn cho người sử dụng.","Dầu phộng Duy Cầm là sản phẩm đặc trưng của xã Cát Nhơn, huyện Phù Cát, tỉnh Bình Định, đã được UBND huyện Phù Cát công nhận là sản phẩm OCOP (Chương trình Mỗi xã một sản phẩm). Đặc điểm nổi bật của dầu phộng Duy Cầm: Nguyên liệu tự nhiên: Được chế biến từ hạt đậu phộng (lạc) nguyên chất, đảm bảo chất lượng và an toàn cho người sử dụng. Quy trình sản xuất truyền thống: Sử dụng phương pháp ép lạnh truyền thống, giữ nguyên hương vị và dưỡng chất của hạt đậu phộng. Hương vị đặc trưng: Dầu có màu vàng óng, hương thơm tự nhiên, phù hợp cho các món chiên, xào, nấu hoặc làm nước sốt.","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7000/20250317/s3_7000_2025031709331765394.jpg?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26185,
26184,SẦU RIÊNG NGŨ HIỆP 4 SAO 1 TRÁI 3 KG,OCOP SẦU RIÊNG NGŨ HIỆP 4 SAO 1 TRÁI 3 KG,240000,,Tiền Giang,Hợp tác xã sầu riêng Ngũ Hiệp,,Sầu riêng hợp tác xã Ngũ Hiệp đến từ vùng trồng của xã Ngũ Hiệp Được thành lập từ năm 2008 hoạt động theo luật hợp tác xã năm 2023 với sản phẩm chủ lực là sầu riêng.,"https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7291/20250314/s3_7291_2025031410141649598.jpg?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26184,
26174,–Dâu Tây Sấy Dẻo,✓OCOP–Dâu Tây Sấy Dẻo,100000,,Lâm Đồng,Gieo...Đặc Sản Đà Lạt,"Dâu tây sấy dẻo - vị  chua ngọt - hũ nhựa tròn
Sản phẩm Dâu tây sấy dẻo được chế biến 100% quả dâu Đà Lạt. Qua quy trình khép kín","Dâu tây sấy dẻo - vị  chua ngọt - hũ nhựa tròn Được chế biến và sản xuất bởi công ty TNHH Nông Sản Đa Nhim. Địa chỉ: 20 Nguyễn Du, TDP Quảng Lạc, thị trấn Dran, Huyện Đơn Dương, Tỉnh Lâm Đồng. Số công bố sản phẩm: 12/DANHIM/2020. Sản phẩm Dâu tây sấy dẻo được chế biến 100% quả dâu Đà Lạt. Qua quy trình khép kín đảm bảo vệ sinh an toàn thực phẩm. Dâu tây sấy dẻo nhà “Gieo…” được sản xuất dựa trên tiêu chuẩn hệ thống quản lý chất lượng ISO 22000:2018:GKVN-03998-FC đảm bảo tiêu chí:”100% Tự nhiên, Không phụ gia, Không chất bảo quản”. Hướng dẫn sử dụng: Dùng ngay sau khi mở túi không qua chế biến. Bảo quản: Bảo quản ở nhiệt độ thường. Nơi khô ráo, thoáng mát. Tránh ánh nắng trực tiếp của mặt trời. Bảo quản thời gian lâu hơn khi để trong ngăn mát tủ lạnh Hạn sử dụng: 6 tháng kể từ ngày sản xuất. *Cảnh báo an toàn: Khách hàng không sử dụng sản phẩm khi có mùi lạ hoặc vị mốc Mọi chi tiết phản hồi của quý khách hàng về sản phẩm vui lòng liên hệ qua hotline: 0857 505 505 - 02633 505 504. Xin chân thành cảm ơn quý khách hàng đã tin tưởng và đồng hành cùng “Gieo…” trong suốt hành trình vừa qua”.","https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7276/20250307/s3_7276_2025030715081699180.jpg?x-oss-process=image/resize,m_pad,w_480,h_480",https://buudien.vn/home/Goods/index.html?goods_id=26174,
